HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.2,hpSecPtPortIndex,INTEGER32,NOT-ACCESSIBLE,"This object identifies the port within the group for which this entry contains security configuration information. On a switch system, this index corresponds to the ifIndex of the port."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.3,hpSecPtAddressLimit,INTEGER32,READ-WRITE,"This object identifies the maximum number of MAC addresses learned on this port when the hpSecPtLearnMode is set to learnFirstN or learnFirstNConditionally. Changing the limit while in these modes clears any addresses for this port in the hpSecureAuthAddrTable. This limit does not apply when the learn mode is set to configureSpecific."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.4,hpSecPtLearnMode,INTEGER,READ-WRITE,"This object identifies the learning mode of the port. The modes are as follows: LearnContinuous. The port can learn all new MAC addresses. When a new address is learned, it is stored in a manner such that it can be retrieved from the hpSecureAuthAddrTable. Changing the mode to this value clears any existing addresses for this port in the hpSecureAuthAddrTable. learnFirstN. First N source MAC addresses heard on this port become the authorized addresses. N is configured in hpSecPtAddressLimit. Setting this value initiates learning of up to N new authorized addresses. When a new authorized address is learned, it will be stored in the hpSecureAuthAddrTable. When the table has reached its limit N for this port, any new source MAC addresses received on the port constitutes an intrusion. See hpSecPtAlarmEnable for possible responses to the intrusion. This variable will return learnFirstNConditionally to a GET operation after it has been set to this value. learnFirstNConditionally. This option will initiate learning of up to N new authorized addresses only if the previous hpSecPtLearnMode was not set to learnFirstN or learnFirstNConditionally. N is configured in hpSecPtAddressLimit. configureSpecific. The port will not learn any addresses. Rather, specific authorized MAC addresses for this port are explicitly configured via the hpSecureCfgAddrTable. These addresses are also stored in the hpSecureAuthAddrTable. Any source MAC address received on this port other than those configured, constitutes an intrusion. See hpSecPtAlarmEnable for possible responses. learn8021xAuthorized. The port will learn only MAC address of a client authorized by 802.1X authenticator. learnLimitedContinuous. First N source MAC addresses heard on this port become the authorized addresses. N is specified by the hpSecPtAddressLimit object. When a new authorized address is learned, it will be stored in the hpSecureAuthAddrTable. When the table has reached its limit N for this port, any new source MAC addresses received on the port constitutes an intrusion. See hpSecPtAlarmEnable for possible responses. The authorized addresses in this mode will age out of the system, therefore the list of authorized addresses can be dynamic over time."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.5,hpSecPtPreventEavesdrop,INTEGER,READ-WRITE,"If enabled on a switch, outbound unknown unicast packets will not be forwarded out this port. If enabled on a repeater, outbound unknown unicast packets for this port will be scrambled."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.6,hpSecPtAlarmEnable,INTEGER,READ-WRITE,"This object identifies the action taken when an intrusion occurs. See hpSecPtLearnMode for what constitutes an intrusion. disable. No trap is sent and the port remains enabled. SendTrap. If the hpSecPtIntrusionFlag is set to noIntrusion, the agent will generate an intrusionTrap. SendTrapAndDisablePort. If the hpSecPtIntrusionFlag is set to noIntrusion, the agent generate an intrusionTrap and disable the port. This value does not apply to repeaters."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.3.1.7,hpSecPtIntrusionFlag,INTEGER,READ-WRITE,"This flag indicates if an intrusion has occured on this port. Security-related LED(s) on the device will blink if any instance of this flag has the value intrusion. Setting this flag to noIntrusion will turn off the appropriate LED(s). An intrusion will only cause an alarm and an intrusion log entry if this flag is equal to noIntrusion. On a switch, packets causing intrusions will be not be forwarded."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4,hpSecureCfgAddrTable,"SEQUENCE OF HPSECURECFGADDRENTRY",NOT-ACCESSIBLE,"Table containing multiple configured authorized addresses per port. Facilitates security for ports whose hpSecPtLearnMode is set to configureSpecific."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4.1,hpSecureCfgAddrEntry,SEQUENCE,NOT-ACCESSIBLE,"An entry in the hpSecureCfgAddrTable, containing the configured authorized address for a single port. Entries are stored in nonvolatile memory when either the hpSecPtrLearnMode for the port is changed to configureSpecific, or a new entry is configured while hpSecPtrLearnMode for the port is currently set to configureSpecific."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4.1.1,hpSecCfgAddrGroupIndex,INTEGER32,NOT-ACCESSIBLE,"This object identifies the group containing the port for which this entry contains the configured authorized address. On repeater systems, this can be used to identify a specific repeater within a managed stack of repeaters. On switch systems, stacked or unstacked, this value is always one."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4.1.2,hpSecCfgAddrPortIndex,INTEGER32,NOT-ACCESSIBLE,"This object identifies the port within the group for which this entry contains the configured authorized address. On a switch, this index corresponds to the ifIndex of the port."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4.1.3,hpSecCfgAddress,OCTETSTRING,NOT-ACCESSIBLE,"A specific authorized MAC address for this port configured by a management station."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.4.1.4,hpSecCfgStatus,INTEGER,READ-CREATE,"The row status of a hpSecureCfgAddrEntry."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.5,hpSecureAuthAddrTable,"SEQUENCE OF HPSECUREAUTHADDRENTRY",NOT-ACCESSIBLE,"Table containing the authorized addresses for each port. An authorized address is an address learned while the hpSecPtLearnMode for the port is set to learnContinuous, learnFirstN, learnLimitedContinuous, or learnFirstNConditionally; or an address in the hpSecureCfgAddrTable when the hpSecPtLearnMode for the port is set to configureSpecific. On a switch, for ports whose hpSecPtLearnMode is set to learnContinuous or learnLimitedContinuous, this table may return MAC address information based on the switch's 802.1d forwarding database."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.5.1,hpSecureAuthAddrEntry,SEQUENCE,NOT-ACCESSIBLE,"An entry in the hpSecureAuthAddrTable, containing the authorized address for a single port. Entries are stored in nonvolatile memory except when the port's hpSecPtLearnMode is set to learnContinuous or learnLimitedContinuous."
HP-ICF-GENERIC-RPTR,1.3.6.1.4.1.11.2.14.2.10.5.1.1,hpSecAuthAddrGroupIndex,INTEGER32,NOT-ACCESSIBLE,"This object identifies the group containing the port for which this entry contains authorized address information. On repeater systems, this can be used to identify a specific repeater within a managed stack of repeaters. On switch systems, stacked or unstacked, this value is always one."
