"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"alarmSourceClass",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmSourceClass",".1.3.6.1.4.1.4329.2.45.5.3.1.10","OCTET STRING","read-only","","SharedServices-MIB","The ClassName of the alarm source. Possible values are the configured (fixed) implementation class names of Fault Handler instance or HP8k trapReceiver instance."
"alarmTimestampOn",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmTimestampOn",".1.3.6.1.4.1.4329.2.45.5.3.1.11","OCTET STRING","read-only","","SharedServices-MIB","Date and time of the alarm event generation. See above for a description on the semantics."
"alarmTimestampOff",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmTimestampOff",".1.3.6.1.4.1.4329.2.45.5.3.1.12","OCTET STRING","read-only","","SharedServices-MIB","Date and time of the alarm event reset. See above for a description on the semantics."
"alarmTimestampReceived",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmTimestampReceived",".1.3.6.1.4.1.4329.2.45.5.3.1.13","OCTET STRING","read-only","","SharedServices-MIB","Date and time when the alarm event was received by the FaultHandler. See above for a description on the semantics."
"alarmPriority",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmPriority",".1.3.6.1.4.1.4329.2.45.5.3.1.14","INTEGER","read-only","","SharedServices-MIB","The priority of the alarm. Possible values are: (0) normal, (1) information, (2) warning, (3) minor, (4) major, (5) critical, (6) unknown."
"alarmCategory",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmCategory",".1.3.6.1.4.1.4329.2.45.5.3.1.15","OCTET STRING","read-only","","SharedServices-MIB","The category of the alarm. Possible are any free configurable strings."
"alarmDescription",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.alarmGroup.alarmTrapTable.alarmTrapTableEntry.alarmDescription",".1.3.6.1.4.1.4329.2.45.5.3.1.16","OCTET STRING","read-only","","SharedServices-MIB","The description of the alarm. Possible are any free configurable strings."
"trapGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup",".1.3.6.1.4.1.4329.2.45.90",,,"","SharedServices-MIB",""
"nodeStatusChange",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.nodeStatusChange",".1.3.6.1.4.1.4329.2.45.90.1",,,"","SharedServices-MIB","If the status of an node changes, a trap will be send to the management station containing the application identifier and the node status."
"applicationStatusChange",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.applicationStatusChange",".1.3.6.1.4.1.4329.2.45.90.2",,,"","SharedServices-MIB","If the status of an application changes, a trap will be send to the management station containing the application identifier and the application status."
"containerStatusChange",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.containerStatusChange",".1.3.6.1.4.1.4329.2.45.90.3",,,"","SharedServices-MIB","If the status of a container changes, a trap will be send to the management station containing the container identifier and the container status."
"serviceStatusChange",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.serviceStatusChange",".1.3.6.1.4.1.4329.2.45.90.4",,,"","SharedServices-MIB","If the status of a service changes, a trap will be send to the management station containing the service identifier and the service status. Components are treated like services."
"alarmTrap",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.alarmTrap",".1.3.6.1.4.1.4329.2.45.90.5",,,"","SharedServices-MIB","If an error occurs, there will be checked if the errorClass is configured to trigger an immediate signalling. If so, a trap will be send to the management station containing the information shown above."
"resetAlarmTrap",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.resetAlarmTrap",".1.3.6.1.4.1.4329.2.45.90.6",,,"","SharedServices-MIB","The described alarm to be reset. The alarm has to be deleted."
"heartBeatTrap",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.trapGroup.heartBeatTrap",".1.3.6.1.4.1.4329.2.45.90.7",,,"","SharedServices-MIB","Heartbeat trap, fired at periodic intervals."
"complianceGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup",".1.3.6.1.4.1.4329.2.45.98",,,"","SharedServices-MIB",""
"nodeGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.nodeGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.1",,,"","SharedServices-MIB","The node group compliance."
"applicationGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.applicationGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.2",,,"","SharedServices-MIB","The application group compliance."
"containerGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.containerGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.3",,,"","SharedServices-MIB","The container group compliance."
"serviceGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.serviceGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.4",,,"","SharedServices-MIB","The service group compliance."
"alarmGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.alarmGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.5",,,"","SharedServices-MIB","The alarm group compliance."
"trapGroupCompliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceGroup.trapGroupCompliance",".1.3.6.1.4.1.4329.2.45.98.6",,,"","SharedServices-MIB","The trap group compliance."
"complianceModules",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceModules",".1.3.6.1.4.1.4329.2.45.99",,,"","SharedServices-MIB",""
"compliance",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.complianceModules.compliance",".1.3.6.1.4.1.4329.2.45.99.1",,,"","SharedServices-MIB","The compliance statement."
